,Code,Name,Date,Time in UTC,Record Identifier,Status,Latitude,Longitude,Max Wind,Max Pressure,34 kt wind radii maximum extent in northeastern quadrant,34 kt wind radii maximum extent in southeastern quadrant,34 kt wind radii maximum extent in northwestern quadrant,34 kt wind radii maximum extent in southwestern quadrant,50 kt wind radii maximum extent in northeastern quadrant,50 kt wind radii maximum extent in southeastern quadrant,50 kt wind radii maximum extent in northwestern quadrant,50 kt wind radii maximum extent in southwestern quadrant,64 kt wind radii maximum extent in northeastern quadrant,64 kt wind radii maximum extent in southeastern quadrant,64 kt wind radii maximum extent in northwestern quadrant,64 kt wind radii maximum extent in southwestern quadrant,Radius of Max Wind
146,AL111933,            UNNAMED,19330904, 0500, L, HU, 26.9N,  80.1W, 110,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
147,AL011934,            UNNAMED,19340616, 1900, L, HU, 29.7N,  91.7W,  85,  966, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
148,AL031934,            UNNAMED,19340725, 1700, L, HU, 28.1N,  96.8W,  75,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
149,AL071934,            UNNAMED,19340909, 0200, L, HU, 40.7N,  73.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
150,AL031935,            UNNAMED,19350903, 0200, L, HU, 24.8N,  80.8W, 160,  892, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,    5
151,AL071935,            UNNAMED,19351104, 1800, L, HU, 25.9N,  80.1W,  85,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
152,AL031936,            UNNAMED,19360627, 1600, L, HU, 27.9N,  97.0W,  70,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,    5
153,AL051936,            UNNAMED,19360731, 1400, L, HU, 30.4N,  86.6W,  90,  964, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
154,AL031938,            UNNAMED,19380815, 0100, L, HU, 29.8N,  93.4W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
155,AL061938,            UNNAMED,19380921, 2000, L, HU, 40.7N,  72.9W, 105,  941, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   40
156,AL021939,            UNNAMED,19390811, 2300, L, HU, 27.2N,  80.2W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
157,AL021940,            UNNAMED,19400807, 2100, L, HU, 29.7N,  94.1W,  85,  972, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
158,AL031940,            UNNAMED,19400811, 2000, L, HU, 32.1N,  80.8W,  85,  972, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
159,AL021941,            UNNAMED,19410923, 2200, L, HU, 28.8N,  95.6W, 110, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
160,AL051941,            UNNAMED,19411006, 1000, L, HU, 25.5N,  80.2W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
161,AL021942,            UNNAMED,19420821, 1300, L, HU, 29.5N,  94.6W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
162,AL031942,            UNNAMED,19420830, 0900, L, HU, 28.3N,  96.6W, 100,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
163,AL011943,            UNNAMED,19430727, 1800, L, HU, 29.5N,  94.6W,  90,  967, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
164,AL031944,            UNNAMED,19440801, 2300, L, HU, 33.9N,  78.1W,  70,  985, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
165,AL071944,            UNNAMED,19440915, 0200, L, HU, 40.9N,  72.2W,  90,  954, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
166,AL131944,            UNNAMED,19441018, 2100, L, HU, 24.6N,  82.9W, 105,  949, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
167,AL011945,            UNNAMED,19450624, 0800, L, HU, 28.6N,  82.7W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
168,AL051945,            UNNAMED,19450827, 1200, L, HU, 28.2N,  96.7W, 100,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
169,AL091945,            UNNAMED,19450915, 1930, L, HU, 25.3N,  80.3W, 115,  949, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
170,AL061946,            UNNAMED,19461008, 0200, L, HU, 27.5N,  82.6W,  75,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   35
171,AL031947,            UNNAMED,19470824, 2200, L, HU, 29.2N,  94.9W,  70,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
172,AL041947,            UNNAMED,19470917, 1630, L, HU, 26.1N,  80.1W, 115,  943, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
173,AL091947,            UNNAMED,19471012, 0200, L, HU, 25.4N,  81.2W,  80,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
174,AL051948,            UNNAMED,19480904, 0700, L, HU, 29.1N,  90.5W,  70,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
175,AL081948,            UNNAMED,19480921, 1700, L, HU, 24.6N,  81.6W, 105,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
176,AL091948,            UNNAMED,19481005, 1800, L, HU, 24.7N,  81.2W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
177,AL021949,            UNNAMED,19490826, 2300, L, HU, 26.6N,  80.0W, 115,  954, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
178,AL111949,            UNNAMED,19491004, 0500, L, HU, 28.8N,  95.6W,  95,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
179,AL011950,               ABLE,19500821, 1600, L, HU, 44.6N,  63.7W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
180,AL021950,              BAKER,19500831, 0300, L, HU, 30.2N,  88.0W,  75,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
181,AL051950,               EASY,19500905, 1700, L, HU, 29.1N,  82.8W, 105,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
182,AL111950,               KING,19501018, 0500, L, HU, 25.7N,  80.2W, 115,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,    5
183,AL021952,               ABLE,19520831, 0300, L, HU, 32.3N,  80.6W,  85, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
184,AL031953,            BARBARA,19530814, 0300, L, HU, 35.0N,  76.1W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
185,AL041953,              CAROL,19530907, 2000, L, HU, 44.2N,  66.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
186,AL091953,           FLORENCE,19530926, 1500, L, HU, 30.3N,  86.2W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
187,AL121953,              HAZEL,19531009, 1500, L, HU, 26.7N,  82.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
188,AL031954,              ALICE,19540625, 1400, L, HU, 25.0N,  97.6W,  95, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
189,AL061954,              CAROL,19540831, 1400, L, HU, 40.9N,  72.2W, 100,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
190,AL081954,               EDNA,19540911, 1830, L, HU, 41.4N,  70.5W,  95,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
191,AL141954,              HAZEL,19541015, 1530, L, HU, 33.9N,  78.6W, 115,  938, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
192,AL021955,             CONNIE,19550812, 1500, L, HU, 34.7N,  76.7W,  85,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
193,AL081955,               IONE,19550919, 1100, L, HU, 34.7N,  76.7W,  90,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
194,AL071956,             FLOSSY,19560924, 1000, L, HU, 29.1N,  89.4W,  75,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
195,AL021957,             AUDREY,19570627, 1330, L, HU, 29.8N,  93.7W, 110,  946, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
196,AL041959,              CINDY,19590709, 0400, L, HU, 33.0N,  79.6W,  65,  995, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
197,AL051959,              DEBRA,19590725, 0500, L, HU, 29.1N,  95.2W,  75,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
198,AL081959,             GRACIE,19590929, 1700, L, HU, 32.5N,  80.4W, 115,  951, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
199,AL051960,              DONNA,19600910, 0700, L, HU, 24.8N,  80.9W, 125,  930, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
200,AL061960,              ETHEL,19600915, 2100, L, HU, 30.4N,  89.0W,  70,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
201,AL031961,              CARLA,19610911, 2000, L, HU, 28.3N,  96.4W, 125,  931, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
202,AL011963,             ARLENE,19630809, 1530, L, HU, 32.3N,  64.8W,  95,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
203,AL081963,              GINNY,19631029, 1730, L, HU, 43.8N,  65.8W,  90,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
204,AL051964,               CLEO,19640827, 0800, L, HU, 25.8N,  80.1W,  95,  968, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
205,AL061964,               DORA,19640910, 0600, L, HU, 29.9N,  81.3W,  95,  966, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,    5
206,AL101964,              HILDA,19641003, 2300, L, HU, 29.5N,  91.5W,  90,  959, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   35
207,AL111964,             ISBELL,19641014, 2100, L, HU, 25.8N,  81.4W,  90,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
208,AL031965,              BETSY,19650908, 1100, L, HU, 25.0N,  80.5W, 100,  952, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
209,AL011966,               ALMA,19660609, 2100, L, HU, 30.1N,  84.2W,  75,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
210,AL091966,               INEZ,19661004, 1800, L, HU, 25.0N,  80.5W,  85,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
211,AL131967,             BEULAH,19670920, 1200, L, HU, 25.9N,  97.2W, 110,  940, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
212,AL141968,             GLADYS,19681019, 0400, L, HU, 28.7N,  82.7W,  85,  978, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
213,AL091969,            CAMILLE,19690818, 0400, L, HU, 30.3N,  89.4W, 150,  900, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,    5
214,AL161969,              GERDA,19690910, 0100, L, HU, 44.7N,  67.3W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
215,AL041970,              CELIA,19700803, 2100, L, HU, 27.8N,  97.1W, 120,  944, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
216,AL031983,             ALICIA,19830818, 0700, L, HU, 29.1N,  95.1W, 100,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
217,AL041983,              BARRY,19830828, 1725, L, HU, 25.4N,  97.4W,  70,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
218,AL101984,              DIANA,19840913, 0700, L, HU, 33.9N,  78.0W,  80,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
219,AL021985,                BOB,19850725, 0300, L, HU, 32.2N,  80.5W,  65, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
220,AL041985,              DANNY,19850815, 1630, L, HU, 29.6N,  92.7W,  80,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
221,AL051985,              ELENA,19850902, 1300, L, HU, 30.4N,  89.2W, 100,  959, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
222,AL091985,             GLORIA,19850927, 0530, L, HU, 35.2N,  75.6W,  90,  942, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
223,AL121985,               JUAN,19851029, 1100, L, HU, 29.5N,  91.4W,  65,  974, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
224,AL131985,               KATE,19851121, 2230, L, HU, 30.0N,  85.4W,  85,  967, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
225,AL021986,             BONNIE,19860626, 1000, L, HU, 29.6N,  94.2W,  75,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
226,AL051986,            CHARLEY,19860817, 1400, L, HU, 34.7N,  76.5W,  65,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
227,AL121987,              EMILY,19870925, 1145, L, HU, 32.3N,  64.7W,  75,  974, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
228,AL131987,              FLOYD,19871012, 2100, L, HU, 25.1N,  80.5W,  65,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
229,AL071988,           FLORENCE,19880910, 0200, L, HU, 29.1N,  89.3W,  70,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
230,AL041989,            CHANTAL,19890801, 1300, L, HU, 29.6N,  94.4W,  70,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
231,AL111989,               HUGO,19890918, 1200, L, HU, 18.2N,  65.5W, 110,  945, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
232,AL141989,              JERRY,19891016, 0030, L, HU, 29.2N,  95.0W,  75,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
233,AL031991,                BOB,19910819, 1720, L, HU, 41.2N,  71.6W,  90,  962, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
234,AL041992,             ANDREW,19920824, 0840, L, HU, 25.5N,  80.2W, 145,  926, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
235,AL051995,               ERIN,19950802, 0615, L, HU, 27.7N,  80.3W,  75,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   40
236,AL171995,               OPAL,19951004, 2200, L, HU, 30.3N,  87.1W, 100,  942, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   50
237,AL021996,             BERTHA,19960712, 2000, L, HU, 34.3N,  77.8W,  90,  974, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   40
238,AL061996,               FRAN,19960906, 0030, L, HU, 33.9N,  78.0W, 100,  954, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   40
239,AL081996,           HORTENSE,19960910, 0600, L, HU, 18.0N,  66.9W,  70,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
240,AL051997,              DANNY,19970718, 0900, L, HU, 29.3N,  89.7W,  65,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
241,AL021998,             BONNIE,19980827, 0400, L, HU, 34.4N,  77.7W,  95,  964, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   60
242,AL051998,               EARL,19980903, 0600, L, HU, 30.1N,  85.7W,  70,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   70
243,AL071998,            GEORGES,19980921, 2200, L, HU, 18.1N,  65.8W, 100,  968, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
244,AL031999,               BRET,19990823, 0000, L, HU, 26.9N,  97.4W, 100,  951, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
245,AL081999,              FLOYD,19990916, 0630, L, HU, 33.8N,  78.0W,  90,  956, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   35
246,AL131999,              IRENE,19991015, 1300, L, HU, 24.6N,  81.6W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
247,AL082002,             GUSTAV,20020912, 0430, L, HU, 45.6N,  60.4W,  80,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
248,AL132002,               LILI,20021003, 1300, L, HU, 29.5N,  92.2W,  80,  963, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
249,AL042003,          CLAUDETTE,20030715, 1530, L, HU, 28.3N,  96.2W,  80,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
250,AL082003,              ERIKA,20030816, 1030, L, HU, 25.3N,  97.4W,  65,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
251,AL132003,             ISABEL,20030918, 1700, L, HU, 34.9N,  76.2W,  90,  957, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   40
252,AL152003,               JUAN,20030929, 0300, L, HU, 44.4N,  63.8W,  85,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
253,AL032004,            CHARLEY,20040813, 1945, L, HU, 26.6N,  82.2W, 130,  941, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,    5
254,AL062004,            FRANCES,20040905, 0430, L, HU, 27.2N,  80.2W,  90,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   30
255,AL072004,             GASTON,20040829, 1400, L, HU, 33.0N,  79.6W,  65,  985, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
256,AL092004,               IVAN,20040916, 0650, L, HU, 30.2N,  87.9W, 105,  946, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
257,AL112004,             JEANNE,20040926, 0400, L, HU, 27.2N,  80.2W, 105,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   45
258,AL032005,              CINDY,20050706, 0300, L, HU, 29.2N,  90.1W,  65,  991, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
259,AL042005,             DENNIS,20050710, 1930, L, HU, 30.4N,  87.1W, 105,  946, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,    5
260,AL052005,              EMILY,20050720, 1200, L, HU, 24.8N,  97.6W, 110,  944,  140,  110,   75,   90,  100,   60,   40,   65,   60,   35,   25,   40, -999
261,AL122005,            KATRINA,20050825, 2230, L, HU, 26.0N,  80.1W,  70,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   15
262,AL182005,               RITA,20050924, 0740, L, HU, 29.7N,  93.7W, 100,  937, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   20
263,AL252005,              WILMA,20051024, 1030, L, HU, 25.9N,  81.7W, 105,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   25
264,AL092007,           HUMBERTO,20070913, 0700, L, HU, 29.6N,  94.3W,  80,  985, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
265,AL042008,              DOLLY,20080723, 1820, L, HU, 26.4N,  97.2W,  75,  967,  120,  120,   45,   45,   40,   40,   30,   30,   30,   20,   20,   20,   10
266,AL072008,             GUSTAV,20080901, 1500, L, HU, 29.2N,  90.7W,  90,  954,  175,  175,  140,  135,  130,  100,   70,   75,   35,   50,   40,   30,   25
267,AL092008,                IKE,20080913, 0700, L, HU, 29.3N,  94.7W,  95,  950,  225,  200,  125,  125,  150,  160,   80,   75,  110,   90,   55,   45,   30
268,AL112008,               KYLE,20080929, 0000, L, HU, 43.8N,  66.2W,  65,  985,  210,  210,  110,   75,   75,   90,   60,   45,   70,   50,   40,   40, -999
269,AL072010,               EARL,20100904, 1500, L, HU, 44.3N,  64.5W,  65,  962,  180,  180,  150,  110,  100,  120,  100,   70,    0,   60,    0,    0, -999
270,AL112010,               IGOR,20100921, 1500, L, HU, 46.6N,  53.2W,  75,  950,  400,  350,  350,  350,  200,  180,  140,  160,   75,   45,   60,   75, -999
271,AL092011,              IRENE,20110827, 1200, L, HU, 34.7N,  76.6W,  75,  952,  225,  225,  150,  125,  125,  125,   90,   60,   80,   80,   40,   35,   45
272,AL082012,             GORDON,20120820, 0530, L, HU, 37.0N,  25.1W,  65,  984,   70,  100,   80,   70,   40,   50,   40,   40,   20,   30,   20,   20, -999
273,AL092012,              ISAAC,20120829, 0000, L, HU, 28.9N,  89.4W,  70,  967,  180,  150,  150,  140,   90,   90,   60,   50,   50,   60,    0,    0,   40
274,AL012014,             ARTHUR,20140704, 0315, L, HU, 34.7N,  76.6W,  85,  974,  110,  130,   80,   60,   50,   80,   50,   30,   30,   35,   30,   20,   20
275,AL072014,                FAY,20141012, 0810, L, HU, 32.3N,  64.7W,  70,  984,  150,  150,  120,  120,   50,   60,   60,   60,    0,   20,   20,    0, -999
276,AL082014,            GONZALO,20141018, 0030, L, HU, 32.3N,  64.8W,  95,  952,  140,  150,  110,  110,   80,   80,   60,   60,   50,   50,   50,   40, -999
277,AL092016,            HERMINE,20160902, 0530, L, HU, 30.1N,  84.1W,  70,  981,  130,  150,   60,   60,   70,  110,   40,   30,   30,   40,   30,    0,   20
278,AL142016,            MATTHEW,20161008, 1500, L, HU, 33.0N,  79.5W,  75,  967,  190,  160,   90,  140,   70,   70,   60,   30,   30,   25,   20,    0, -999
279,AL092017,             HARVEY,20170826, 0300, L, HU, 28.0N,  96.9W, 115,  937,  120,   90,   80,   70,   60,   40,   40,   40,   35,   25,   20,   25,   10
280,AL112017,               IRMA,20170910, 1300, L, HU, 24.7N,  81.5W, 115,  931,  270,  180,  140,  210,  120,  120,   80,  110,   70,   60,   30,   50,   10
281,AL152017,              MARIA,20170920, 1015, L, HU, 18.0N,  65.9W, 135,  920,  130,  110,  100,  110,   80,   70,   60,   80,   50,   45,   35,   40,   15
282,AL162017,               NATE,20171008, 0000, L, HU, 29.1N,  89.2W,  75,  983,  110,  100,   40,   70,   50,   50,    0,   20,   30,   30,    0,    0,   15
283,AL062018,           FLORENCE,20180914, 1115, L, HU, 34.2N,  77.8W,  80,  956,  170,  150,  140,   90,  100,   80,   80,   60,   70,   60,   60,   40,   25
284,AL142018,            MICHAEL,20181010, 1730, L, HU, 30.0N,  85.5W, 140,  919,   90,  140,  100,   80,   60,   80,   50,   50,   35,   35,   25,   25,   10
285,AL022019,              BARRY,20190713, 1500, L, HU, 29.6N,  92.2W,  65,  993,   90,  150,  130,   70,   60,   90,    0,    0,   40,   40,    0,    0,   40
286,AL052019,             DORIAN,20190828, 1800, L, HU, 18.4N,  65.1W,  70,  993,   70,   40,   20,   50,   30,   20,    0,   20,   15,    0,    0,    0,   15
287,AL082020,              HANNA,20200725, 2200, L, HU, 26.8N,  97.3W,  80,  973,  100,  100,   50,   80,   50,   30,   30,   50,   25,   20,   20,   25,   20
288,AL092020,             ISAIAS,20200804, 0310, L, HU, 33.9N,  78.5W,  80,  986,  110,  110,   40,   60,   50,   50,   30,   30,   20,   20,   20,    0,   25
289,AL132020,              LAURA,20200827, 0600, L, HU, 29.8N,  93.3W, 130,  939,  120,  150,   80,   80,   60,   70,   40,   40,   40,   50,   30,   30,   15
290,AL172020,           PAULETTE,20200914, 0850, L, HU, 32.3N,  64.7W,  85,  971,  150,  100,   80,  150,   80,   50,   30,   80,   40,   20,    0,   30, -999
291,AL192020,              SALLY,20200916, 0945, L, HU, 30.3N,  87.7W,  95,  965,   90,  110,   80,   70,   70,   40,   30,   50,   35,   20,   20,   25,   15
292,AL262020,              DELTA,20201009, 2300, L, HU, 29.8N,  93.1W,  85,  970,  140,  140,   80,  110,   50,   40,   40,   50,   35,   30,   25,   25,   15
293,AL282020,               ZETA,20201028, 2100, L, HU, 29.2N,  90.6W, 100,  970,  130,  130,   40,   60,   70,   70,   20,   20,   35,   35,    0,    0,   20
294,AL092021,                IDA,20210829, 1655, L, HU, 29.1N,  90.2W, 130,  931,  130,  110,   80,  110,   70,   60,   40,   60,   45,   35,   20,   30,   10
295,AL122021,              LARRY,20210911, 0330, L, HU, 47.3N,  54.6W,  70,  958,  220,  220,  180,  120,  120,  120,  120,   80,   60,   90,    0,    0,   70
296,AL142021,           NICHOLAS,20210914, 0530, L, HU, 28.7N,  95.7W,  65,  991,  100,  120,   40,   50,   50,   40,    0,   30,   25,   25,    0,   20,   20
297,AL072022,              FIONA,20220918, 1920, L, HU, 18.0N,  67.1W,  75,  986,  110,  120,   30,   80,   50,   50,    0,    0,   25,   25,    0,    0,   25
298,AL092022,                IAN,20220928, 0200, L, HU, 24.6N,  82.9W, 110,  952,  120,  120,  100,  120,   60,   60,   50,   60,   35,   35,   20,   20,   20
299,AL172022,             NICOLE,20221110, 0745, L, HU, 27.6N,  80.3W,  65,  980,  390,   90,  180,  300,   80,   30,   20,   80,   20,   20,    0,    0,   20
300,AL102023,             IDALIA,20230830, 1145, L, HU, 29.9N,  83.6W, 100,  950,  130,  180,   50,   60,   60,   50,   30,   40,   20,   20,   15,   10,   10
301,AL022024,              BERYL,20240708, 0840, L, HU, 28.6N,  96.0W,  80,  978,  100,  100,   60,   80,   70,   70,   30,   30,   50,   50,    0,    0,   25
302,AL042024,              DEBBY,20240805, 1100, L, HU, 29.7N,  83.5W,  70,  979,   60,  120,   50,   50,   40,   70,    0,   30,   20,   25,    0,   15,   20
303,AL052024,            ERNESTO,20240817, 0830, L, HU, 32.3N,  64.8W,  75,  972,  150,  210,  110,  150,   90,  100,   60,   80,   60,   60,   30,   40,   40
304,AL062024,           FRANCINE,20240911, 2200, L, HU, 29.3N,  91.3W,  90,  972,   90,  120,   70,   70,   50,   70,   40,   40,   35,   35,   20,   25,   20
305,AL092024,             HELENE,20240927, 0310, L, HU, 30.0N,  83.7W, 120,  939,  240,  270,  150,  140,  100,  110,   60,   50,   60,   70,   35,   35,   20
306,AL142024,             MILTON,20241010, 0030, L, HU, 27.4N,  82.6W, 100,  958,  180,  170,  110,  220,   60,   60,   70,   90,   30,   30,   30,   30,   20
