DamageBetween20001and3000,DamageGreaterThan3000,MajorDamage_rent,Estimate!!HOUSING OCCUPANCY!!Total housing units,Percent!!HOUSING OCCUPANCY!!Total housing units,Estimate!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,Percent!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,Percent!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,Max Wind,Max Pressure,dist_from_landfall
14.0,21.0,0.0,202484.0,202484.0,166691.0,82.3,0,0.0,0,0.0,23819,10.6,40357,20.3,40807,19.7,49476,24.5,32096,16.7,9929,5.1,3457,1.8,1615,0.8,105,950,159.2001397550676
0.0,8.0,0.0,453881.0,453881.0,365903.0,80.6,0,0.0,0,0.0,13446,2.7,34946,7.5,66928,14.2,107260,23.3,98350,22.2,70473,15.6,40796,9.6,14311,3.1,105,950,162.40275287147634
76.0,161.0,0.0,250405.0,250405.0,201820.0,80.6,0,0.0,0,0.0,28061,10.1,51147,20.7,48695,19.3,47422,19.1,32667,13.4,19701,8.0,11266,4.7,6995,2.7,105,950,113.29982614539604
1.0,2.0,0.0,203820.0,203820.0,152469.0,74.8,0,0.0,0,0.0,19149,8.4,35088,17.4,37667,18.2,46538,22.7,34943,17.8,17564,8.8,8668,4.5,2752,1.3,105,950,136.4268391210471
5.0,11.0,0.0,160887.0,160887.0,137735.0,85.6,0,0.0,0,0.0,13684,7.7,28959,17.9,38652,23.5,41141,25.9,22999,15.0,8784,5.6,4038,2.7,1729,1.1,105,950,123.5469344344697
0.0,0.0,0.0,9788.0,9788.0,6969.0,71.2,0,0.0,0,0.0,580,5.4,1749,17.3,2357,24.1,1919,20.1,1102,11.6,850,8.6,624,6.7,376,3.8,105,950,284.8230968745002
4.0,9.0,0.0,100146.0,100146.0,88015.0,87.9,0,0.0,0,0.0,9571,8.7,19110,19.1,20175,20.0,20587,20.7,14509,15.0,7985,8.1,4465,4.7,2472,2.4,105,950,215.8731713958049
1.0,0.0,0.0,8518.0,8518.0,7496.0,88.0,0,0.0,0,0.0,561,6.0,1850,20.9,2172,26.0,1679,19.8,1111,13.6,510,6.1,309,3.7,212,2.5,105,950,244.2937785826475
2.0,4.0,0.0,9766.0,9766.0,8057.0,82.5,0,0.0,0,0.0,708,6.5,1527,15.5,2033,20.4,2127,22.1,1344,14.2,861,8.8,637,6.7,373,3.9,105,950,222.70694849822976
7.0,17.0,0.0,69301.0,69301.0,54116.0,78.1,0,0.0,0,0.0,6856,8.9,13801,19.9,16783,23.8,17348,25.4,9785,14.8,3115,4.7,872,1.3,456,0.6,105,950,179.2733185411381
4.0,5.0,0.0,66582.0,66582.0,60908.0,91.5,0,0.0,0,0.0,9664,13.1,17082,26.0,14428,21.7,12401,18.9,7278,11.4,2932,4.6,1476,2.3,912,1.4,105,950,221.35855469107457
4.0,8.0,0.0,25255.0,25255.0,21817.0,86.4,0,0.0,0,0.0,2091,7.5,5226,20.3,5945,23.6,4836,19.5,3046,12.4,1814,7.3,1195,4.9,740,3.0,105,950,250.78550866359674
8.0,7.0,0.0,8149.0,8149.0,4427.0,54.3,0,0.0,0,0.0,683,7.6,1516,18.5,1751,21.4,1817,22.3,1258,16.1,606,7.6,353,4.5,134,1.8,105,950,241.63859075211266
4.0,3.0,0.0,346051.0,346051.0,297963.0,86.1,0,0.0,0,0.0,30755,8.0,58878,17.1,58313,16.7,56032,16.3,45178,13.2,40099,11.6,29489,8.8,18348,5.3,105,950,230.14425703686055
4.0,6.0,0.0,6455.0,6455.0,5391.0,83.5,0,0.0,0,0.0,660,9.2,1531,23.5,1683,26.1,1298,20.6,645,10.5,229,3.7,106,1.7,172,2.6,105,950,234.41964569844362
1.0,1.0,0.0,5125.0,5125.0,4089.0,79.8,0,0.0,0,0.0,231,4.1,817,15.3,1141,22.3,1018,20.0,738,14.8,425,8.5,265,5.3,299,5.7,105,950,283.69127944891255
4.0,4.0,0.0,74845.0,74845.0,63389.0,84.7,0,0.0,0,0.0,8777,10.6,16689,22.5,20279,26.5,18268,25.3,7094,10.0,2225,3.1,863,1.2,417,0.5,105,950,166.82206871513043
71.0,234.0,0.0,68049.0,68049.0,51926.0,76.3,0,0.0,0,0.0,8582,11.4,16126,23.9,15886,23.2,13797,20.7,7147,11.0,3466,5.1,1979,3.1,717,1.1,105,950,35.664370204336514
2.0,1.0,0.0,3198.0,3198.0,2082.0,65.1,0,0.0,0,0.0,258,7.3,544,17.0,630,19.5,628,19.8,429,13.8,284,8.9,162,5.4,142,4.2,105,950,267.542490989308
4.0,3.0,0.0,17769.0,17769.0,14268.0,80.3,0,0.0,0,0.0,1344,6.8,3948,21.5,4356,25.0,3437,19.4,2381,13.9,1036,6.0,506,3.0,452,2.5,105,950,212.29947546992307
16.0,54.0,0.0,145493.0,145493.0,120885.0,83.1,0,0.0,0,0.0,18964,11.7,36059,24.9,34422,23.6,28608,20.1,15080,10.8,6393,4.5,3116,2.3,1817,1.2,105,950,177.71569803371926
32.0,100.0,0.0,69912.0,69912.0,53413.0,76.4,0,0.0,0,0.0,5239,6.8,11527,16.4,16149,22.6,19274,27.7,11487,17.4,3405,5.0,1720,2.6,789,1.2,105,950,4.670370962333922
0.0,0.0,0.0,30685.0,30685.0,24584.0,80.1,0,0.0,0,0.0,2678,7.9,6759,21.6,7653,25.1,5941,19.8,3358,11.4,1800,5.9,1130,3.8,849,2.7,105,950,250.29722540400599
111.0,250.0,0.0,120984.0,120984.0,93029.0,76.9,0,0.0,0,0.0,17392,13.0,28094,23.8,26132,21.1,25538,21.6,13029,11.3,5856,4.9,3221,2.8,1227,1.0,105,950,13.345070314992933
6.0,17.0,0.0,43552.0,43552.0,34806.0,79.9,0,0.0,0,0.0,7852,16.3,14074,32.7,9290,22.0,5465,12.7,3315,7.9,1521,3.6,909,2.1,767,1.8,105,950,158.38217161557725
0.0,4.0,0.0,16901.0,16901.0,13519.0,80.0,0,0.0,0,0.0,1248,6.7,3219,18.6,3941,23.3,3464,20.8,2078,12.8,1021,6.1,821,4.9,737,4.4,105,950,267.68465968732124
0.0,4.0,0.0,3969.0,3969.0,3176.0,80.0,0,0.0,0,0.0,217,4.9,840,20.2,999,25.8,766,19.2,553,14.5,239,6.2,124,3.3,132,3.2,105,950,233.8260510848683
0.0,0.0,0.0,5804.0,5804.0,4720.0,81.3,0,0.0,0,0.0,269,4.2,1103,18.1,1487,25.9,968,17.2,594,10.3,417,7.4,226,4.0,408,6.6,105,950,319.065091918945
3.0,2.0,0.0,7601.0,7601.0,6112.0,80.4,0,0.0,0,0.0,324,3.9,1290,16.2,1791,23.8,1333,18.0,923,12.3,679,9.1,407,5.5,495,6.2,105,950,298.38729956218674
0.0,0.0,0.0,240922.0,240922.0,199257.0,82.7,0,0.0,0,0.0,21696,8.1,42947,17.9,51880,21.1,50316,21.4,36708,15.3,25747,11.1,8801,3.9,1847,0.7,105,946,456.2215832384732
0.0,0.0,0.0,42543.0,42543.0,32637.0,76.7,0,0.0,0,0.0,9507,20.2,14697,35.6,9164,21.7,5912,14.4,2046,5.1,572,1.4,389,0.9,187,0.5,105,946,403.5774890559509
0.0,0.0,0.0,127723.0,127723.0,106029.0,83.0,0,0.0,0,0.0,18365,13.0,33488,26.5,27194,21.5,20847,16.6,12167,9.9,6938,5.5,4380,3.6,2656,2.0,105,946,384.41863242280726
0.0,0.0,0.0,78197.0,78197.0,63432.0,81.1,0,0.0,0,0.0,13077,15.1,21987,28.7,16740,21.5,12587,16.6,5911,7.9,3037,3.9,2187,3.0,1636,2.0,105,946,387.44602526685867
0.0,0.0,0.0,226949.0,226949.0,180702.0,79.6,0,0.0,0,0.0,19626,7.8,37954,16.8,46824,20.2,51125,22.8,32632,14.9,19227,8.5,11068,5.2,5266,2.3,105,946,414.84795929178614
0.0,0.0,0.0,49474.0,49474.0,36419.0,73.6,0,0.0,0,0.0,3601,6.6,8373,16.7,11897,23.5,11968,24.7,6714,14.1,3474,7.1,1943,4.1,949,1.9,105,946,434.386897453192
0.0,1.0,0.0,328306.0,328306.0,221662.0,67.5,0,0.0,0,0.0,50176,13.8,80823,25.2,67992,20.4,66671,20.6,38603,12.3,14853,4.7,5551,1.8,2469,0.8,105,946,444.78297910186063
0.0,0.0,0.0,154024.0,154024.0,118407.0,76.9,0,0.0,0,0.0,15447,9.0,27920,18.3,28636,18.3,32465,21.1,25148,16.7,14107,9.4,6111,4.2,2624,1.7,105,946,376.15135853303065
0.0,0.0,0.0,16291.0,16291.0,12303.0,75.5,0,0.0,0,0.0,1271,7.1,2738,16.7,3220,19.6,3776,23.1,2881,18.4,1421,8.9,694,4.5,222,1.4,105,946,474.331509079302
0.0,0.0,0.0,428330.0,428330.0,366259.0,85.5,0,0.0,0,0.0,49910,10.5,95996,22.5,91652,21.4,75516,18.0,46643,11.1,34905,8.2,21358,5.3,8219,1.9,105,946,409.35788762118887
0.0,0.0,0.0,110812.0,110812.0,83459.0,75.3,0,0.0,0,0.0,19654,16.0,34762,31.8,26425,24.1,16762,15.7,6768,6.4,2933,2.7,1679,1.6,1093,1.0,105,946,415.03446222440346
0.0,0.0,0.0,592846.0,592846.0,471947.0,79.6,0,0.0,0,0.0,46613,7.1,99739,16.7,135476,22.4,146802,25.1,88963,15.6,41330,7.1,20321,3.6,8786,1.5,105,946,532.6473930266671
0.0,0.0,0.0,202484.0,202484.0,166691.0,82.3,0,0.0,0,0.0,23819,10.6,40357,20.3,40807,19.7,49476,24.5,32096,16.7,9929,5.1,3457,1.8,1615,0.8,105,946,351.9450451334534
0.0,0.0,0.0,250405.0,250405.0,201820.0,80.6,0,0.0,0,0.0,28061,10.1,51147,20.7,48695,19.3,47422,19.1,32667,13.4,19701,8.0,11266,4.7,6995,2.7,105,946,398.3583601841434
0.0,0.0,0.0,160887.0,160887.0,137735.0,85.6,0,0.0,0,0.0,13684,7.7,28959,17.9,38652,23.5,41141,25.9,22999,15.0,8784,5.6,4038,2.7,1729,1.1,105,946,410.40899101757407
1.0,0.0,0.0,18941.0,18941.0,15169.0,80.1,0,0.0,0,0.0,3526,17.9,5720,30.6,3250,17.2,2559,13.6,1587,8.5,816,4.3,514,2.7,551,2.9,105,946,90.75518119902193
1.0,2.0,0.0,76965.0,76965.0,64248.0,83.5,0,0.0,0,0.0,8333,10.4,16002,20.9,11985,15.7,11711,15.1,12197,15.9,8248,10.8,4523,5.9,2724,3.6,105,946,71.39560807272707
0.0,9.0,0.0,55604.0,55604.0,47103.0,84.7,0,0.0,0,0.0,5292,9.1,10270,18.5,8259,14.9,9915,17.7,10528,19.1,5824,10.6,2761,5.0,1828,3.3,105,946,48.904062373145486
11.0,20.0,0.0,100602.0,100602.0,90122.0,89.6,0,0.0,0,0.0,8251,7.4,17121,17.0,16466,16.5,14877,14.9,12699,12.8,9953,10.0,6960,7.1,8319,8.0,105,946,483.9692837073556
14.0,28.0,0.0,30916.0,30916.0,23992.0,77.6,0,0.0,0,0.0,2144,6.3,4875,15.6,5116,16.6,4674,15.2,3874,12.7,3196,10.4,2775,9.1,2714,8.7,105,946,466.16927041838005
0.0,2.0,0.0,16928.0,16928.0,12562.0,74.2,0,0.0,0,0.0,608,3.2,2307,13.0,3423,20.2,3406,20.1,2918,17.5,1813,11.1,1068,6.4,926,5.5,105,946,457.513524249579
0.0,0.0,0.0,183665.0,183665.0,159941.0,87.1,0,0.0,0,0.0,4518,2.4,11391,6.2,20484,11.1,39251,21.3,46428,25.3,33311,18.2,17232,9.4,7831,4.3,105,946,136.063129131242
0.0,0.0,0.0,37178.0,37178.0,33491.0,90.1,0,0.0,0,0.0,2084,5.5,4589,12.4,4971,13.4,6613,17.7,6840,18.5,4908,13.2,3362,9.1,2423,6.5,105,946,167.71264447986346
0.0,0.0,0.0,157994.0,157994.0,114528.0,72.5,0,0.0,0,0.0,4511,2.8,7799,5.0,8512,5.3,16228,10.2,20461,13.0,19966,12.6,19120,12.1,33293,20.9,105,946,129.8832296860316
2.0,10.0,0.0,9100.0,9100.0,7579.0,83.3,0,0.0,0,0.0,1573,17.0,2607,28.8,1297,14.3,1035,11.4,1181,12.9,882,9.8,299,3.3,149,1.6,105,946,124.50652007568621
0.0,2.0,0.0,13579.0,13579.0,10104.0,74.4,0,0.0,0,0.0,1886,13.6,2917,21.6,1662,12.2,2414,17.7,2433,18.0,1370,10.2,538,4.0,221,1.6,105,946,123.46088545326958
0.0,0.0,0.0,19318.0,19318.0,18121.0,93.8,0,0.0,0,0.0,987,5.0,2731,14.1,3962,20.4,4358,22.6,3477,18.0,2203,11.4,961,5.0,392,2.0,105,946,149.4435993108049
0.0,1.0,0.0,91868.0,91868.0,82972.0,90.3,0,0.0,0,0.0,10390,11.1,21914,23.9,20446,22.3,17774,19.4,11173,12.2,5032,5.5,2242,2.4,1737,1.9,105,946,123.91865710296017
0.0,0.0,0.0,42717.0,42717.0,37379.0,87.5,0,0.0,0,0.0,2858,6.5,6134,14.4,6222,14.6,7641,17.8,7642,17.9,5270,12.4,3502,8.2,2298,5.4,105,946,174.5998360799452
2.0,3.0,0.0,8698.0,8698.0,7533.0,86.6,0,0.0,0,0.0,542,6.0,1413,16.1,1829,21.0,1911,22.0,1368,15.9,711,8.2,434,5.1,313,3.6,105,946,61.78560164223197
1.0,3.0,0.0,4906.0,4906.0,4008.0,81.7,0,0.0,0,0.0,237,4.6,776,15.6,932,19.1,835,17.0,831,17.0,556,11.5,251,5.2,258,5.2,105,946,81.16284486195661
0.0,1.0,0.0,6597.0,6597.0,5747.0,87.1,0,0.0,0,0.0,734,10.7,1677,25.4,1322,20.3,808,12.3,803,12.2,586,9.0,266,4.1,224,3.3,105,946,84.72884349999332
5.0,37.0,0.0,12098.0,12098.0,8711.0,72.0,0,0.0,0,0.0,187,1.5,1229,9.8,2115,17.5,2216,18.2,2053,17.1,1465,12.2,1097,9.2,1069,8.8,105,946,102.3205715691395
2.0,10.0,0.0,19382.0,19382.0,16005.0,82.6,0,0.0,0,0.0,504,2.5,2148,10.8,2943,15.3,3418,17.4,3821,19.9,2569,13.4,1631,8.5,1426,7.3,105,946,160.7345533560405
4.0,15.0,0.0,9780.0,9780.0,8090.0,82.7,0,0.0,0,0.0,186,1.8,987,9.8,1782,18.2,1911,19.6,1691,17.4,1170,12.1,816,8.3,796,8.1,105,946,147.70709976392016
44.0,119.0,0.0,167437.0,167437.0,146025.0,87.2,0,0.0,0,0.0,8752,5.0,20629,12.3,23528,14.0,29998,17.8,30366,18.3,22900,13.7,16427,10.0,9743,5.8,105,946,37.16940857535258
0.0,11.0,0.0,4652.0,4652.0,3647.0,78.4,0,0.0,0,0.0,56,1.2,396,8.2,648,14.0,911,19.2,929,20.3,514,11.0,385,8.4,444,9.4,105,946,167.2681263968055
4.0,12.0,0.0,8007.0,8007.0,6357.0,79.4,0,0.0,0,0.0,227,2.7,969,11.8,1581,19.7,1566,19.6,1439,18.0,1176,14.8,611,7.8,277,3.5,105,946,85.43171088216268
2.0,17.0,0.0,5517.0,5517.0,3554.0,64.4,0,0.0,0,0.0,185,3.2,659,11.7,990,17.9,1105,20.0,958,17.6,581,10.6,328,6.1,379,6.7,105,946,128.3212966273153
7.0,25.0,0.0,88679.0,88679.0,62077.0,70.0,0,0.0,0,0.0,8710,8.8,16572,18.8,19087,21.1,19287,22.2,10886,12.8,5897,6.7,4651,5.4,2685,3.1,105,946,133.38424998244847
232.0,622.0,0.0,122836.0,122836.0,102215.0,83.2,0,0.0,0,0.0,8292,6.1,18425,14.9,22115,17.9,23954,19.5,19623,16.3,14381,11.8,8918,7.6,4695,3.8,105,946,42.09781900024917
33.0,60.0,0.0,82663.0,82663.0,65372.0,79.1,0,0.0,0,0.0,7501,8.2,16076,19.3,17551,21.2,16877,20.6,11871,14.8,7264,8.9,3940,5.0,1118,1.4,105,946,83.30010140730745
358.0,682.0,0.0,56892.0,56892.0,49495.0,87.0,0,0.0,0,0.0,7510,11.9,15167,26.7,12762,22.8,9287,16.5,5827,10.7,3259,5.8,1970,3.7,759,1.4,105,946,56.89086482872011
12.0,29.0,0.0,39490.0,39490.0,20684.0,52.4,0,0.0,0,0.0,5742,13.2,11341,28.8,9677,24.8,6089,16.0,2886,7.6,1586,4.1,996,2.6,788,2.0,105,946,104.83384811293914
106.0,312.0,0.0,96310.0,96310.0,66176.0,68.7,0,0.0,0,0.0,13933,13.8,28726,29.9,21847,22.9,13213,13.8,8266,8.7,4491,4.7,2544,2.7,2002,2.1,105,946,24.67019096575267
38.0,164.0,0.0,15792.0,15792.0,13153.0,83.3,0,0.0,0,0.0,448,2.7,2042,12.6,2894,18.5,2890,18.2,2803,17.9,1988,12.6,1445,9.3,867,5.5,105,946,71.30102210066826
0.0,0.0,0.0,4550.0,4550.0,3659.0,80.4,0,0.0,0,0.0,79,1.6,357,7.4,605,13.2,836,18.0,925,20.5,667,15.0,470,10.4,413,9.1,105,946,193.7606404285171
0.0,0.0,,2515.0,2515.0,2314.0,92.0,0,0.0,0,0.0,56,2.0,332,12.3,451,18.4,393,15.5,397,16.0,294,11.9,257,10.2,234,9.5,105,946,199.52779372106028
2.0,8.0,0.0,5315.0,5315.0,4300.0,80.9,0,0.0,0,0.0,245,4.2,761,13.8,1026,19.3,1026,19.3,844,16.2,599,11.4,423,8.2,270,5.1,105,946,166.757308762162
2.0,1.0,0.0,7740.0,7740.0,4240.0,54.8,0,0.0,0,0.0,411,4.8,1160,14.6,1600,20.5,1394,18.4,927,12.2,654,8.6,695,8.8,665,8.8,105,946,187.2536131320004
1.0,0.0,0.0,17366.0,17366.0,14709.0,84.7,0,0.0,0,0.0,783,4.1,2742,15.2,3557,20.7,2893,16.8,2284,13.4,1905,11.0,1439,8.5,1136,6.5,105,946,200.5766501511437
1.0,2.0,0.0,8103.0,8103.0,4823.0,59.5,0,0.0,0,0.0,525,5.9,1346,16.3,1853,22.6,1426,18.4,885,10.8,964,12.0,620,8.0,321,4.0,105,946,159.06069588124683
5.0,14.0,0.0,7745.0,7745.0,6104.0,78.8,0,0.0,0,0.0,324,3.8,911,11.4,1580,19.9,1967,25.5,1331,17.9,687,8.9,457,6.1,302,3.8,105,946,135.4791014957415
3.0,13.0,0.0,18857.0,18857.0,15125.0,80.2,0,0.0,0,0.0,1042,5.0,2603,13.6,3563,18.7,3927,20.9,2952,16.1,1982,10.6,1433,7.8,921,4.9,105,946,165.12932183774956
1.0,0.0,0.0,110520.0,110520.0,98604.0,89.2,0,0.0,0,0.0,9315,7.6,21432,19.2,25079,22.6,22983,21.1,14756,13.8,8313,7.6,4962,4.7,2555,2.3,105,946,217.68436348312986
0.0,1.0,0.0,2728.0,2728.0,1811.0,66.4,0,0.0,0,0.0,92,3.1,386,13.5,621,22.6,535,20.0,419,15.4,337,12.7,203,7.6,106,4.1,105,946,179.41191358669877
1.0,0.0,0.0,9788.0,9788.0,6969.0,71.2,0,0.0,0,0.0,580,5.4,1749,17.3,2357,24.1,1919,20.1,1102,11.6,850,8.6,624,6.7,376,3.8,105,946,258.21942988662147
0.0,1.0,0.0,11419.0,11419.0,9510.0,83.3,0,0.0,0,0.0,1432,11.3,3111,27.1,2648,23.8,1886,16.6,1165,10.7,469,4.1,339,3.1,238,2.1,105,946,213.43732678585144
3.0,3.0,0.0,9592.0,9592.0,7895.0,82.3,0,0.0,0,0.0,604,5.7,1639,16.7,2109,21.9,1990,20.9,1364,14.7,780,8.2,482,5.2,382,3.9,105,946,139.35677428260698
1.0,1.0,0.0,193600.0,193600.0,171953.0,88.8,0,0.0,0,0.0,15801,7.4,35087,18.0,34519,18.0,30545,15.8,26943,14.1,21819,11.4,14421,7.7,9327,4.8,105,946,617.1871984705823
0.0,0.0,0.0,69301.0,69301.0,54116.0,78.1,0,0.0,0,0.0,6856,8.9,13801,19.9,16783,23.8,17348,25.4,9785,14.8,3115,4.7,872,1.3,456,0.6,105,946,340.5462250395244
0.0,1.0,0.0,66582.0,66582.0,60908.0,91.5,0,0.0,0,0.0,9664,13.1,17082,26.0,14428,21.7,12401,18.9,7278,11.4,2932,4.6,1476,2.3,912,1.4,105,946,365.1984949882065
0.0,1.0,0.0,346051.0,346051.0,297963.0,86.1,0,0.0,0,0.0,30755,8.0,58878,17.1,58313,16.7,56032,16.3,45178,13.2,40099,11.6,29489,8.8,18348,5.3,105,946,375.5526753790236
0.0,0.0,0.0,68049.0,68049.0,51926.0,76.3,0,0.0,0,0.0,8582,11.4,16126,23.9,15886,23.2,13797,20.7,7147,11.0,3466,5.1,1979,3.1,717,1.1,105,946,484.16457791468656
0.0,0.0,0.0,145493.0,145493.0,120885.0,83.1,0,0.0,0,0.0,18964,11.7,36059,24.9,34422,23.6,28608,20.1,15080,10.8,6393,4.5,3116,2.3,1817,1.2,105,946,354.91780513846516
0.0,0.0,0.0,69912.0,69912.0,53413.0,76.4,0,0.0,0,0.0,5239,6.8,11527,16.4,16149,22.6,19274,27.7,11487,17.4,3405,5.0,1720,2.6,789,1.2,105,946,510.08433773577167
1.0,0.0,0.0,120984.0,120984.0,93029.0,76.9,0,0.0,0,0.0,17392,13.0,28094,23.8,26132,21.1,25538,21.6,13029,11.3,5856,4.9,3221,2.8,1227,1.0,105,946,498.30938270571977
0.0,0.0,0.0,7618.0,7618.0,6506.0,85.4,0,0.0,0,0.0,301,3.8,952,12.3,1316,17.3,1438,18.8,1259,16.7,845,11.1,618,8.2,547,7.1,105,946,137.7565473391255
6.0,1.0,0.0,386204.0,386204.0,320949.0,83.1,0,0.0,0,0.0,40660,9.4,74381,19.5,63120,16.5,54592,14.2,48874,12.7,42501,11.2,26405,7.1,21626,5.4,105,946,323.91205592675914
2.0,1.0,0.0,10963.0,10963.0,6415.0,58.5,0,0.0,0,0.0,584,4.8,1904,16.7,2696,24.6,2288,21.3,1469,13.7,890,8.3,517,4.9,390,3.5,105,946,415.5296534175435
0.0,0.0,0.0,7060.0,7060.0,5662.0,80.2,0,0.0,0,0.0,192,2.6,813,11.3,1272,18.0,1367,19.3,1234,17.6,785,11.3,524,7.4,538,7.6,105,946,245.684012099445
3.0,4.0,0.0,7067.0,7067.0,5045.0,71.4,0,0.0,0,0.0,191,2.6,826,11.4,1321,18.7,1370,19.4,1238,17.6,833,12.0,461,6.6,472,6.6,105,946,126.94796766027588
0.0,6.0,0.0,4812.0,4812.0,3354.0,69.7,0,0.0,0,0.0,104,2.1,509,10.3,885,18.4,923,19.2,872,18.2,624,13.2,340,7.1,343,7.1,105,946,181.46850104209992
0.0,4.0,0.0,7358.0,7358.0,5564.0,75.6,0,0.0,0,0.0,254,3.3,1191,15.8,1648,22.6,1167,16.0,1002,13.6,848,11.6,475,6.6,442,5.9,105,946,178.69963082595584
1.0,0.0,0.0,9081.0,9081.0,7628.0,84.0,0,0.0,0,0.0,352,3.7,1128,12.3,1527,16.8,1595,17.5,1666,18.4,1186,13.3,600,6.7,615,6.7,105,946,212.778666957237
1.0,8.0,0.0,6503.0,6503.0,4716.0,72.5,0,0.0,0,0.0,134,2.0,740,11.1,1178,18.2,1246,19.1,1197,18.6,852,13.2,523,8.2,370,5.6,105,946,164.51730944821142
0.0,1.0,0.0,78872.0,78872.0,65920.0,83.6,0,0.0,0,0.0,7836,9.5,16041,20.4,14002,17.8,13098,16.6,11264,14.4,7272,9.3,4625,5.9,3132,4.0,105,946,208.928643072206
0.0,3.0,0.0,33164.0,33164.0,28985.0,87.4,0,0.0,0,0.0,1640,4.8,4297,12.9,4820,14.6,5344,16.0,5923,17.9,4654,14.1,2994,9.2,2209,6.6,105,946,158.74063088890685
0.0,0.0,0.0,5219.0,5219.0,4556.0,87.3,0,0.0,0,0.0,250,4.6,938,17.7,1190,23.0,958,18.4,842,16.3,483,9.4,189,3.7,207,3.9,105,946,97.88331297825033
0.0,5.0,0.0,8828.0,8828.0,8031.0,91.0,0,0.0,0,0.0,508,5.5,1703,19.0,1933,22.1,1559,17.6,1373,15.7,775,8.8,474,5.4,318,3.6,105,946,109.70857850617097
0.0,0.0,0.0,93559.0,93559.0,77728.0,83.1,0,0.0,0,0.0,10260,9.8,18239,19.7,16906,18.0,18980,20.2,16321,17.8,8674,9.7,2863,3.3,935,1.0,105,946,310.7830100152705
0.0,0.0,0.0,39894.0,39894.0,35391.0,88.7,0,0.0,0,0.0,5147,11.6,9047,23.0,7262,18.3,6629,16.7,4707,12.2,2495,6.4,1690,4.3,1786,4.4,105,946,289.5061440395645
0.0,0.0,0.0,71994.0,71994.0,66743.0,92.7,0,0.0,0,0.0,13019,16.2,22847,32.2,16461,23.3,10498,15.0,4779,7.0,1656,2.4,994,1.4,1045,1.4,105,946,338.5631908110159
1.0,0.0,0.0,254280.0,254280.0,230579.0,90.7,0,0.0,0,0.0,23267,8.2,51837,20.2,62646,24.4,55230,22.2,32044,13.0,17258,7.0,7757,3.2,2953,1.2,105,946,323.85895763007784
0.0,0.0,0.0,6419.0,6419.0,5623.0,87.6,0,0.0,0,0.0,459,6.4,1161,17.7,1335,20.9,1107,17.5,859,13.5,654,10.4,384,6.2,289,4.4,105,946,351.68811216158275
0.0,0.0,0.0,9114.0,9114.0,7328.0,80.4,0,0.0,0,0.0,1243,12.2,2630,28.7,2417,26.9,1449,16.6,635,7.2,325,3.7,177,2.0,155,1.7,105,946,364.8405072677256
1.0,0.0,0.0,271159.0,271159.0,237800.0,87.7,0,0.0,0,0.0,21785,7.2,41567,15.4,44423,16.2,49231,18.2,45410,16.9,34933,13.2,18588,7.2,9876,3.6,105,946,327.33865304229255
0.0,1.0,,54818.0,54818.0,49722.0,90.7,0,0.0,0,0.0,11737,19.2,21182,39.1,12056,23.2,4418,8.2,2627,5.0,1354,2.5,625,1.2,512,0.9,105,946,351.88883690694
0.0,0.0,0.0,9309.0,9309.0,7802.0,83.8,0,0.0,0,0.0,460,4.4,1455,15.1,1954,21.0,1715,18.6,1215,13.4,835,9.1,629,6.9,648,6.8,105,946,398.63824891771367
1.0,4.0,0.0,14532.0,14532.0,10538.0,72.5,0,0.0,0,0.0,997,6.1,3435,22.6,4093,28.7,2643,18.6,1432,10.2,763,5.3,534,3.8,403,2.8,105,946,367.20301305799734
