,fipsCode,housing_cluster,econ_cluster
897,45069,0,4
898,45069,0,4
899,37063,2,3
900,37063,2,3
901,37007,0,2
902,37007,0,2
903,37013,0,0
904,37013,0,0
905,37013,0,0
906,37013,0,0
907,37017,0,2
908,37017,0,2
909,37017,0,2
910,37017,0,2
911,37017,0,2
912,37019,0,0
913,37019,0,0
914,37019,0,0
915,37019,0,0
916,37031,0,0
917,37031,0,0
918,37031,0,0
919,37031,0,0
920,37037,0,3
921,37037,0,3
922,37047,0,2
923,37047,0,2
924,37047,0,2
925,37047,0,2
926,37047,0,2
927,37049,0,0
928,37049,0,0
929,37049,0,0
930,37049,0,0
931,37051,2,0
932,37051,2,0
933,37051,2,0
934,37051,2,0
935,37061,0,2
936,37061,0,2
937,37061,0,2
938,37061,0,2
939,37079,0,2
940,37079,0,2
941,37079,0,2
942,37079,0,2
943,37081,2,0
944,37081,2,0
945,37085,0,0
946,37085,0,0
947,37085,0,0
948,37093,0,0
949,37093,0,0
950,37093,0,0
951,37101,0,3
952,37101,0,3
953,37101,0,3
954,37101,0,3
955,37103,0,2
956,37103,0,2
957,37103,0,2
958,37103,0,2
959,37105,0,0
960,37105,0,0
961,37107,0,2
962,37107,0,2
963,37107,0,2
964,37107,0,2
965,37125,0,3
966,37125,0,3
967,37129,2,0
968,37129,2,0
969,37129,2,0
970,37133,0,0
971,37133,0,0
972,37133,0,0
973,37133,0,0
974,37135,0,3
975,37137,0,0
976,37137,0,0
977,37137,0,0
978,37141,0,3
979,37141,0,3
980,37141,0,3
981,37141,0,3
982,37147,0,0
983,37147,0,0
984,37147,0,0
985,37147,0,0
986,37153,0,2
987,37153,0,2
988,37155,0,2
989,37155,0,2
990,37155,0,2
991,37155,0,2
992,37163,0,2
993,37163,0,2
994,37163,0,2
995,37163,0,2
996,37165,0,2
997,37165,0,2
998,37165,0,2
999,37179,0,3
1000,37179,0,3
1001,37191,0,0
1002,37191,0,0
1003,37191,0,0
1004,37191,0,0
1005,37195,0,2
1006,37195,0,2
1007,37195,0,2
1008,37195,0,2
1009,13039,0,0
1010,13039,0,0
1011,13049,0,2
1012,13049,0,2
1013,13051,2,0
1014,13051,2,0
1015,13051,2,0
1016,13069,0,2
1017,13069,0,2
1018,13127,0,0
1019,13127,0,0
1020,13127,0,0
1021,13127,0,0
1022,13179,0,0
1023,13179,0,0
1024,13179,0,0
1025,13191,0,2
1026,13191,0,2
1027,13191,0,2
1028,12001,2,0
1029,12001,2,0
1030,12001,2,0
1031,12001,2,0
1032,12003,0,0
1033,12003,0,0
1034,12003,0,0
1035,12003,0,0
1036,12007,0,0
1037,12007,0,0
1038,12007,0,0
1039,12007,0,0
1040,12011,4,0
1041,12011,4,0
1042,12011,4,0
1043,12017,0,2
1044,12017,0,2
1045,12017,0,2
