,disasterNumber,declarationTitle,state,Date,fipsStateCode,fipsCountyCode,placeCode,year,county,validReg_own,DamageBetween1and1000,DamageBetween10001and2000,DamageBetween20001and3000,DamageGreaterThan3000,validReg_rent,ModerateDamage_rent,MajorDamage_rent,SubstDamage_rent
427,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,123,99123,2017,Salinas (Municipio),7946,4361,414,67,120,2093,219,79,0
428,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,125,99125,2017,San German (Municipio),7340,1771,34,6,9,2932,40,10,0
429,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,127,99127,2017,San Juan (Municipio),58672,18002,636,94,129,63249,2168,440,0
430,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,129,99129,2017,San Lorenzo (Municipio),9043,4279,167,36,50,2898,128,42,0
431,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,131,99131,2017,San Sebastian (Municipio),8433,2770,195,33,18,3276,127,46,0
432,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,133,99133,2017,Santa Isabel (Municipio),5810,2647,194,18,38,1768,151,50,0
433,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,135,99135,2017,Toa Alta (Municipio),16509,5753,438,98,188,4417,171,95,0
434,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,137,99137,2017,Toa Baja (Municipio),19854,9364,1029,140,121,7720,806,397,0
435,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,139,99139,2017,Trujillo Alto (Municipio),14246,5268,220,45,40,6541,284,63,0
436,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,141,99141,2017,Utuado (Municipio),7349,3418,334,52,61,2702,203,113,0
437,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,143,99143,2017,Vega Alta (Municipio),8144,3135,367,85,55,2679,132,57,0
438,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,145,99145,2017,Vega Baja (Municipio),14203,5777,500,75,67,4626,293,120,0
439,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,147,99147,2017,Vieques (Municipio),2004,1254,80,18,100,668,122,27,0
440,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,149,99149,2017,Villalba (Municipio),6117,2941,155,35,30,1587,78,48,0
441,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,151,99151,2017,Yabucoa (Municipio),8882,5813,328,73,113,1996,193,63,0
442,4339,HURRICANE MARIA,PR,2017-09-17 00:00:00+00:00,72,153,99153,2017,Yauco (Municipio),10196,2779,126,16,18,3030,114,26,0
443,4338,HURRICANE IRMA,GA,2017-09-07 00:00:00+00:00,13,39,99039,2017,Camden (County),2460,579,74,4,3,2386,104,7,0
444,4338,HURRICANE IRMA,GA,2017-09-07 00:00:00+00:00,13,49,99049,2017,Charlton (County),481,179,10,0,0,250,12,1,0
445,4338,HURRICANE IRMA,GA,2017-09-07 00:00:00+00:00,13,51,99051,2017,Chatham (County),6869,593,75,11,2,15865,193,18,0
446,4338,HURRICANE IRMA,GA,2017-09-07 00:00:00+00:00,13,69,99069,2017,Coffee (County),490,216,2,0,0,191,9,0,0
447,4338,HURRICANE IRMA,GA,2017-09-07 00:00:00+00:00,13,127,99127,2017,Glynn (County),4684,829,111,14,4,6397,227,23,0
448,4338,HURRICANE IRMA,GA,2017-09-07 00:00:00+00:00,13,179,99179,2017,Liberty (County),751,127,15,3,1,1337,17,1,0
449,4338,HURRICANE IRMA,GA,2017-09-07 00:00:00+00:00,13,191,99191,2017,McIntosh (County),1024,253,16,3,1,528,12,1,0
450,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,1,99001,2017,Alachua (County),9658,1569,100,11,6,12185,250,27,0
451,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,3,99003,2017,Baker (County),1790,366,36,1,0,1086,23,1,0
452,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,7,99007,2017,Bradford (County),2241,615,92,10,4,1290,92,5,0
453,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,9,99009,2017,Brevard (County),35084,7417,417,52,30,28706,1083,141,0
454,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,11,99011,2017,Broward (County),128778,18712,439,94,24,177121,2831,281,0
455,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,15,99015,2017,Charlotte (County),8342,1160,78,9,0,6225,188,15,0
456,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,17,99017,2017,Citrus (County),8715,1298,35,2,2,5532,112,7,0
457,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,19,99019,2017,Clay (County),9668,1559,245,107,68,6011,202,75,0
458,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,21,99021,2017,Collier (County),39431,7429,592,97,31,32435,1208,170,0
459,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,23,99023,2017,Columbia (County),4259,753,38,6,2,3814,68,13,0
460,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,27,99027,2017,DeSoto (County),2516,863,95,16,1,1929,146,9,0
461,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,29,99029,2017,Dixie (County),1344,404,8,1,1,578,18,0,0
462,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,31,99031,2017,Duval (County),44836,7721,761,89,22,66508,2065,245,0
463,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,35,99035,2017,Flagler (County),5476,938,203,12,4,3607,159,13,0
464,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,41,99041,2017,Gilchrist (County),1068,202,5,1,0,497,17,1,0
465,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,43,99043,2017,Glades (County),1251,519,18,4,1,503,59,8,0
466,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,47,99047,2017,Hamilton (County),447,208,1,0,0,172,9,1,0
467,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,49,99049,2017,Hardee (County),2461,858,59,19,3,1596,71,5,0
468,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,51,99051,2017,Hendry (County),4980,1963,55,14,9,3144,196,24,0
469,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,53,99053,2017,Hernando (County),9055,1492,58,12,3,6023,135,11,0
470,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,55,99055,2017,Highlands (County),14989,4430,126,27,9,8442,415,55,0
471,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,57,99057,2017,Hillsborough (County),48309,6120,229,36,11,80955,1044,114,0
472,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,61,99061,2017,Indian River (County),5980,1345,71,9,2,5258,213,18,0
473,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,67,99067,2017,Lafayette (County),641,49,2,0,0,330,2,1,0
474,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,69,99069,2017,Lake (County),22669,4510,88,18,6,15822,277,43,0
475,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,71,99071,2017,Lee (County),64350,11537,771,76,40,60884,1985,190,0
476,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,75,99075,2017,Levy (County),2742,479,15,0,0,1541,31,7,0
477,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,81,99081,2017,Manatee (County),14894,2233,86,7,2,15927,291,40,0
478,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,83,99083,2017,Marion (County),26894,4563,127,36,10,21741,452,58,0
479,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,85,99085,2017,Martin (County),4578,778,21,1,2,3641,83,6,0
480,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,86,99086,2017,Miami-Dade (County),221357,36232,911,184,48,374677,7307,818,0
481,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,87,99087,2017,Monroe (County),19444,4070,1742,452,226,20035,2430,415,0
482,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,89,99089,2017,Nassau (County),4292,776,63,10,4,2099,53,16,0
483,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,93,99093,2017,Okeechobee (County),3469,1234,33,7,3,1786,88,9,0
484,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,95,99095,2017,Orange (County),68452,11100,299,51,16,93970,1682,220,0
485,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,97,99097,2017,Osceola (County),19645,4907,180,24,5,16882,616,48,0
486,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,99,99099,2017,Palm Beach (County),69771,9214,157,30,6,88310,1290,116,0
487,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,101,99101,2017,Pasco (County),24484,3767,124,23,4,23031,485,54,0
488,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,103,99103,2017,Pinellas (County),69755,6795,82,20,2,75268,799,115,0
489,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,105,99105,2017,Polk (County),55550,13395,479,68,20,47287,1556,194,0
490,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,107,99107,2017,Putnam (County),8648,2425,112,14,6,5353,175,14,0
491,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,109,99109,2017,St. Johns (County),7804,1308,224,22,7,4540,214,21,0
492,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,111,99111,2017,St. Lucie (County),18097,3531,208,30,8,14781,763,53,0
493,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,115,99115,2017,Sarasota (County),16913,1889,65,7,2,13686,279,22,0
494,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,117,99117,2017,Seminole (County),27655,3682,161,20,3,29304,443,77,0
495,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,119,99119,2017,Sumter (County),4472,1037,22,4,5,2609,58,6,0
496,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,121,99121,2017,Suwannee (County),3138,526,10,4,0,2053,24,5,0
497,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,125,99125,2017,Union (County),748,176,10,0,0,572,12,0,0
498,4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,127,99127,2017,Volusia (County),31908,4813,298,26,8,30298,1033,102,0
499,4336,HURRICANE IRMA,PR,2017-09-05 00:00:00+00:00,72,53,99053,2017,Fajardo (Municipio),560,154,3,0,2,221,23,1,0
500,4336,HURRICANE IRMA,PR,2017-09-05 00:00:00+00:00,72,137,99137,2017,Toa Baja (Municipio),452,94,5,1,1,182,6,0,0
501,4336,HURRICANE IRMA,PR,2017-09-05 00:00:00+00:00,72,29,99029,2017,Canovanas (Municipio),767,249,13,1,11,180,19,7,0
502,4336,HURRICANE IRMA,PR,2017-09-05 00:00:00+00:00,72,33,99033,2017,Catano (Municipio),148,41,1,0,1,116,4,0,0
503,4336,HURRICANE IRMA,PR,2017-09-05 00:00:00+00:00,72,49,99049,2017,Culebra (Municipio),150,72,10,0,9,63,19,4,0
504,4336,HURRICANE IRMA,PR,2017-09-05 00:00:00+00:00,72,51,99051,2017,Dorado (Municipio),302,78,2,0,0,88,4,3,0
505,4336,HURRICANE IRMA,PR,2017-09-05 00:00:00+00:00,72,87,99087,2017,Loiza (Municipio),742,468,14,0,6,175,29,5,0
506,4336,HURRICANE IRMA,PR,2017-09-05 00:00:00+00:00,72,89,99089,2017,Luquillo (Municipio),303,103,4,0,0,104,14,3,0
507,4336,HURRICANE IRMA,PR,2017-09-05 00:00:00+00:00,72,145,99145,2017,Vega Baja (Municipio),517,100,3,0,3,186,9,1,0
508,4336,HURRICANE IRMA,PR,2017-09-05 00:00:00+00:00,72,147,99147,2017,Vieques (Municipio),278,139,8,1,16,71,13,3,0
511,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,7,99007,2017,Aransas (County),9309,4034,549,161,313,3750,1126,350,0
512,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,15,99015,2017,Austin (County),576,175,40,10,23,258,23,3,0
513,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,21,99021,2017,Bastrop (County),591,276,25,4,1,174,14,1,0
514,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,25,99025,2017,Bee (County),1595,768,4,1,0,685,13,2,0
515,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,39,99039,2017,Brazoria (County),23647,5323,2747,1234,546,16256,1316,87,0
516,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,55,99055,2017,Caldwell (County),215,99,8,2,0,26,3,0,0
517,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,57,99057,2017,Calhoun (County),4021,1838,53,4,12,2192,138,21,0
518,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,71,99071,2017,Chambers (County),4387,1432,857,330,161,1629,326,27,0
519,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,89,99089,2017,Colorado (County),571,205,54,10,5,443,104,0,0
520,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,123,99123,2017,DeWitt (County),1007,483,15,2,1,398,31,1,0
521,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,149,99149,2017,Fayette (County),588,150,37,34,142,211,18,32,0
522,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,157,99157,2017,Fort Bend (County),36583,7037,2873,1681,562,21596,1143,41,0
523,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,167,99167,2017,Galveston (County),23626,6892,4260,1612,816,20925,3021,234,0
524,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,175,99175,2017,Goliad (County),901,457,9,2,0,230,15,3,0
525,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,177,99177,2017,Gonzales (County),437,193,9,1,0,169,10,1,0
526,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,185,99185,2017,Grimes (County),322,168,18,3,2,79,7,0,0
527,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,199,99199,2017,Hardin (County),7064,1547,371,433,1002,3108,266,150,0
528,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,201,99201,2017,Harris (County),183459,49338,23576,11003,7824,263617,26945,2728,0
529,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,239,99239,2017,Jackson (County),1335,449,3,1,1,1021,37,2,0
530,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,241,99241,2017,Jasper (County),2881,959,127,32,18,1397,54,10,0
531,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,245,99245,2017,Jefferson (County),33376,8362,5215,2283,1605,33566,5197,392,0
532,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,255,99255,2017,Karnes (County),288,155,1,0,1,95,12,0,0
533,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,273,99273,2017,Kleberg (County),673,182,3,0,0,681,3,0,0
534,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,285,99285,2017,Lavaca (County),286,110,1,0,0,132,5,0,0
535,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,287,99287,2017,Lee (County),158,74,4,6,4,52,3,0,0
536,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,291,99291,2017,Liberty (County),7326,3169,796,296,164,3196,462,46,0
537,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,321,99321,2017,Matagorda (County),5487,1302,102,39,7,4245,88,2,0
538,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,339,99339,2017,Montgomery (County),11396,3029,1023,653,784,7780,775,353,0
539,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,351,99351,2017,Newton (County),1644,590,141,84,41,344,33,7,0
540,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,355,99355,2017,Nueces (County),26745,7942,320,90,35,23771,855,105,0
541,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,361,99361,2017,Orange (County),18571,4099,3417,2154,1428,9991,2100,262,0
542,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,373,99373,2017,Polk (County),1641,656,56,31,20,593,30,3,0
543,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,391,99391,2017,Refugio (County),1975,1087,78,15,34,783,235,53,0
544,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,403,99403,2017,Sabine (County),235,84,4,0,0,51,1,0,0
545,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,407,99407,2017,San Jacinto (County),1940,867,168,110,63,486,78,17,0
546,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,409,99409,2017,San Patricio (County),10535,4546,200,36,67,6035,1031,136,0
547,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,457,99457,2017,Tyler (County),1481,557,55,27,9,433,11,4,0
548,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,469,99469,2017,Victoria (County),10775,4273,161,36,24,8814,797,80,0
549,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,471,99471,2017,Walker (County),1128,515,30,8,3,769,86,6,0
550,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,473,99473,2017,Waller (County),1381,551,166,60,11,951,104,1,0
551,4332,HURRICANE HARVEY,TX,2017-08-23 00:00:00+00:00,48,481,99481,2017,Wharton (County),3102,862,455,218,147,2401,391,15,0
552,4291,HURRICANE MATTHEW,VA,2016-10-07 00:00:00+00:00,51,700,56000,2016,Newport News,64,31,0,0,0,132,83,0,0
553,4291,HURRICANE MATTHEW,VA,2016-10-07 00:00:00+00:00,51,550,16000,2016,Chesapeake,518,299,17,4,1,141,16,0,0
554,4291,HURRICANE MATTHEW,VA,2016-10-07 00:00:00+00:00,51,650,35000,2016,Hampton,128,70,0,0,0,86,48,2,0
555,4291,HURRICANE MATTHEW,VA,2016-10-07 00:00:00+00:00,51,710,57000,2016,Norfolk,429,259,4,0,0,241,58,2,0
556,4291,HURRICANE MATTHEW,VA,2016-10-07 00:00:00+00:00,51,740,64000,2016,Portsmouth,356,187,10,0,0,205,74,0,0
557,4291,HURRICANE MATTHEW,VA,2016-10-07 00:00:00+00:00,51,800,76432,2016,Suffolk,232,115,13,8,3,66,15,0,0
558,4291,HURRICANE MATTHEW,VA,2016-10-07 00:00:00+00:00,51,810,82000,2016,Virginia Beach,2089,1141,376,10,5,812,366,1,0
559,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,5,99005,2016,Allendale (County),219,138,0,0,1,31,6,0,0
560,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,9,99009,2016,Bamberg (County),191,111,0,0,3,33,3,2,0
561,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,11,99011,2016,Barnwell (County),103,66,0,0,0,14,2,0,0
562,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,13,99013,2016,Beaufort (County),5292,2044,127,20,9,1968,157,18,0
563,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,15,99015,2016,Berkeley (County),1671,898,17,1,3,289,17,2,0
564,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,17,99017,2016,Calhoun (County),105,64,0,0,0,18,3,0,0
565,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,19,99019,2016,Charleston (County),2000,1118,63,4,2,982,115,5,0
566,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,25,99025,2016,Chesterfield (County),232,108,1,0,0,31,1,0,0
567,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,27,99027,2016,Clarendon (County),543,383,2,0,2,140,14,2,0
568,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,29,99029,2016,Colleton (County),985,590,5,1,1,200,12,4,0
569,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,31,99031,2016,Darlington (County),1400,799,5,1,1,362,25,1,0
570,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,33,99033,2016,Dillon (County),1818,1125,36,11,6,755,133,6,0
571,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,35,99035,2016,Dorchester (County),1180,562,26,1,1,413,26,2,0
572,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,41,99041,2016,Florence (County),3827,2194,56,11,4,1484,173,17,0
573,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,43,99043,2016,Georgetown (County),1581,1095,23,2,2,255,52,2,0
574,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,49,99049,2016,Hampton (County),555,314,2,0,0,102,9,0,0
575,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,51,99051,2016,Horry (County),4874,2653,195,69,22,1498,222,17,0
576,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,53,99053,2016,Jasper (County),780,398,6,0,0,303,7,2,0
577,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,61,99061,2016,Lee (County),359,194,4,1,0,70,6,0,0
578,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,67,99067,2016,Marion (County),2996,1634,188,127,55,1089,232,27,0
579,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,69,99069,2016,Marlboro (County),409,240,5,0,0,103,18,1,0
580,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,75,99075,2016,Orangeburg (County),1594,973,9,2,2,356,30,4,0
581,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,85,99085,2016,Sumter (County),555,307,5,0,0,193,19,4,0
582,4286,HURRICANE MATTHEW,SC,2016-10-04 00:00:00+00:00,45,89,99089,2016,Williamsburg (County),2043,1543,14,3,4,308,73,8,0
583,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,7,99007,2016,Anson (County),74,52,0,0,0,20,1,0,0
584,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,13,99013,2016,Beaufort (County),407,267,5,1,1,279,66,2,0
585,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,15,99015,2016,Bertie (County),777,498,23,8,2,237,65,0,0
586,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,17,99017,2016,Bladen (County),2173,1427,25,25,9,762,55,5,0
587,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,19,99019,2016,Brunswick (County),627,389,4,0,2,145,13,0,0
588,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,29,99029,2016,Camden (County),165,98,15,1,0,33,12,0,0
589,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,31,99031,2016,Carteret (County),40,24,1,0,1,8,2,0,0
590,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,37,99037,2016,Chatham (County),14,6,0,0,0,15,1,6,0
591,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,41,99041,2016,Chowan (County),157,98,2,1,0,50,6,0,0
592,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,47,99047,2016,Columbus (County),3521,2148,101,35,9,1610,321,8,0
593,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,49,99049,2016,Craven (County),453,246,14,7,0,161,11,0,0
594,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,51,99051,2016,Cumberland (County),7592,3552,209,91,56,6968,978,70,0
595,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,53,99053,2016,Currituck (County),251,120,4,1,1,61,11,0,0
596,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,55,99055,2016,Dare (County),793,412,49,8,1,315,134,0,0
597,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,61,99061,2016,Duplin (County),973,695,21,9,4,343,69,4,0
598,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,65,99065,2016,Edgecombe (County),1764,869,93,81,67,1335,445,83,0
599,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,73,99073,2016,Gates (County),132,83,3,1,1,22,5,1,0
600,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,79,99079,2016,Greene (County),392,231,22,8,0,185,25,1,0
601,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,83,99083,2016,Halifax (County),327,241,2,1,0,158,20,3,0
602,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,85,99085,2016,Harnett (County),1205,577,28,8,4,578,51,2,0
603,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,91,99091,2016,Hertford (County),328,233,5,2,1,121,19,0,0
604,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,93,99093,2016,Hoke (County),1372,705,9,5,1,546,30,2,0
605,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,95,99095,2016,Hyde (County),136,81,0,0,0,55,7,0,0
606,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,101,99101,2016,Johnston (County),1120,433,42,23,13,707,100,6,0
607,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,103,99103,2016,Jones (County),194,131,9,3,1,29,5,0,0
608,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,105,99105,2016,Lee (County),162,86,3,0,1,57,3,1,0
609,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,107,99107,2016,Lenoir (County),1762,915,84,25,6,1494,349,9,0
610,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,117,99117,2016,Martin (County),163,109,0,0,3,47,3,0,0
611,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,125,99125,2016,Moore (County),289,122,9,3,3,98,13,2,0
612,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,127,99127,2016,Nash (County),526,308,5,0,0,407,77,3,0
613,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,131,99131,2016,Northampton (County),197,156,4,0,0,50,8,0,0
614,4285,HURRICANE MATTHEW,NC,2016-10-04 00:00:00+00:00,37,133,99133,2016,Onslow (County),346,199,3,0,1,89,2,0,0
