,Code,Name,Date,Time in UTC,Record Identifier,Status,Latitude,Longitude,Max Wind,Min Pressure,34 kt wind radii maximum extent in northeastern quadrant,34 kt wind radii maximum extent in southeastern quadrant,34 kt wind radii maximum extent in northwestern quadrant,34 kt wind radii maximum extent in southwestern quadrant,50 kt wind radii maximum extent in northeastern quadrant,50 kt wind radii maximum extent in southeastern quadrant,50 kt wind radii maximum extent in northwestern quadrant,50 kt wind radii maximum extent in southwestern quadrant,64 kt wind radii maximum extent in northeastern quadrant,64 kt wind radii maximum extent in southeastern quadrant,64 kt wind radii maximum extent in northwestern quadrant,64 kt wind radii maximum extent in southwestern quadrant,Radius of Max Wind
34,AL041851,UNNAMED,18510826, 0000,, TS, 37.8N,  73.6W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
35,AL041851,UNNAMED,18510826, 0600,, TS, 38.9N,  71.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
36,AL041851,UNNAMED,18510826, 1200,, TS, 40.0N,  70.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
37,AL041851,UNNAMED,18510826, 1800,, TS, 41.3N,  66.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
38,AL041851,UNNAMED,18510827, 0000,, TS, 42.8N,  63.3W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
39,AL041851,UNNAMED,18510827, 0600,, TS, 44.5N,  60.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
40,AL041851,UNNAMED,18510827, 1200,, TS, 46.4N,  57.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
41,AL041851,UNNAMED,18510827, 1800,, TS, 48.5N,  54.2W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
42,AL051851,UNNAMED,18510913, 0000,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
43,AL051851,UNNAMED,18510913, 0600,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
44,AL051851,UNNAMED,18510913, 1200,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
45,AL051851,UNNAMED,18510913, 1800,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
46,AL051851,UNNAMED,18510914, 0000,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
47,AL051851,UNNAMED,18510914, 0600,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
48,AL051851,UNNAMED,18510914, 1200,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
49,AL051851,UNNAMED,18510914, 1800,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
50,AL051851,UNNAMED,18510915, 0000,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
51,AL051851,UNNAMED,18510915, 0600,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
52,AL051851,UNNAMED,18510915, 1200,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
53,AL051851,UNNAMED,18510915, 1800,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
54,AL051851,UNNAMED,18510916, 0000,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
55,AL051851,UNNAMED,18510916, 0600,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
56,AL051851,UNNAMED,18510916, 1200,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
57,AL051851,UNNAMED,18510916, 1800,, TS, 32.5N,  73.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
58,AL061851,UNNAMED,18511016, 0000,, TS, 28.7N,  78.0W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
59,AL061851,UNNAMED,18511016, 0600,, TS, 29.1N,  77.8W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
60,AL061851,UNNAMED,18511016, 1200,, TS, 29.5N,  77.5W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
61,AL061851,UNNAMED,18511016, 1800,, TS, 30.1N,  77.1W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
62,AL061851,UNNAMED,18511017, 0000,, TS, 30.7N,  76.6W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
63,AL061851,UNNAMED,18511017, 0600,, TS, 31.2N,  76.3W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
64,AL061851,UNNAMED,18511017, 1200,, TS, 31.6N,  75.9W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
65,AL061851,UNNAMED,18511017, 1800,, TS, 32.0N,  75.5W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
66,AL061851,UNNAMED,18511018, 0000,, TS, 32.7N,  74.9W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
67,AL061851,UNNAMED,18511018, 0600,, TS, 33.3N,  74.3W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
68,AL061851,UNNAMED,18511018, 1200,, TS, 34.0N,  73.8W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
69,AL061851,UNNAMED,18511018, 1800,, TS, 35.3N,  73.0W,  60, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
70,AL061851,UNNAMED,18511019, 0000,, TS, 37.0N,  72.6W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
71,AL061851,UNNAMED,18511019, 0600,, TS, 38.5N,  72.1W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
72,AL061851,UNNAMED,18511019, 1200,, TS, 40.2N,  71.8W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
73,AL061851,UNNAMED,18511019, 1500, L, TS, 41.1N,  71.7W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
74,AL061851,UNNAMED,18511019, 1800,, TS, 42.0N,  71.6W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
75,AL011852,UNNAMED,18520823, 0000,, HU, 24.7N,  83.1W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
76,AL011852,UNNAMED,18520823, 0600,, HU, 25.2N,  83.9W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
77,AL011852,UNNAMED,18520823, 1200,, HU, 25.7N,  84.6W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
78,AL011852,UNNAMED,18520823, 1800,, HU, 26.2N,  85.3W,  90, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
79,AL011852,UNNAMED,18520824, 0000,, HU, 26.7N,  86.0W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
80,AL011852,UNNAMED,18520824, 0600,, HU, 27.2N,  86.6W, 100, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
