disasterNumber,declarationTitle,state,Date,fipsStateCode,fipsCountyCode,year,county,validReg_own,DamageBetween1and1000,DamageBetween10001and2000,DamageBetween20001and3000,DamageGreaterThan3000,validReg_rent,ModerateDamage_rent,MajorDamage_rent,SubstDamage_rent,fipsCode,LATITUDE_county,LONGITUDE_county
1561,HURRICANE JEANNE,FL,2004-09-24 00:00:00+00:00,12,9,2004,Brevard (County),29365.0,17430.0,317.0,59.0,239.0,8940.0,0.0,0.0,0.0,12009,28.225111,-80.690892
1551,HURRICANE IVAN,FL,2004-09-13 00:00:00+00:00,12,9,2004,Brevard (County),467.0,21.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,12009,28.225111,-80.690892
1545,HURRICANE FRANCES,FL,2004-09-03 00:00:00+00:00,12,9,2004,Brevard (County),40825.0,24266.0,409.0,69.0,171.0,11330.0,0.0,0.0,0.0,12009,28.225111,-80.690892
1539,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,FL,2004-08-11 00:00:00+00:00,12,9,2004,Brevard (County),2428.0,1280.0,14.0,4.0,4.0,657.0,0.0,0.0,0.0,12009,28.225111,-80.690892
4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,35,2022,Flagler (County),306.0,114.0,57.0,1.0,1.0,110.0,13.0,0.0,0.0,12035,29.521471,-81.222102
4673,HURRICANE IAN,FL,2022-09-23 00:00:00+00:00,12,35,2022,Flagler (County),2222.0,253.0,51.0,14.0,2.0,2131.0,32.0,2.0,0.0,12035,29.521471,-81.222102
4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,35,2017,Flagler (County),5476.0,938.0,203.0,12.0,4.0,3607.0,159.0,13.0,0.0,12035,29.521471,-81.222102
4283,HURRICANE MATTHEW,FL,2016-10-03 00:00:00+00:00,12,35,2016,Flagler (County),3847.0,1222.0,46.0,7.0,0.0,1090.0,44.0,1.0,0.0,12035,29.521471,-81.222102
4834,HURRICANE MILTON ,FL,2024-10-05 00:00:00+00:00,12,35,2024,Flagler (County),3309.0,295.0,39.0,4.0,0.0,1986.0,41.0,0.0,0.0,12035,29.521471,-81.222102
1561,HURRICANE JEANNE,FL,2004-09-24 00:00:00+00:00,12,35,2004,Flagler (County),775.0,421.0,0.0,1.0,5.0,167.0,0.0,0.0,0.0,12035,29.521471,-81.222102
1551,HURRICANE IVAN,FL,2004-09-13 00:00:00+00:00,12,35,2004,Flagler (County),61.0,10.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,12035,29.521471,-81.222102
1545,HURRICANE FRANCES,FL,2004-09-03 00:00:00+00:00,12,35,2004,Flagler (County),2869.0,1641.0,34.0,3.0,4.0,544.0,0.0,0.0,0.0,12035,29.521471,-81.222102
1539,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,FL,2004-08-11 00:00:00+00:00,12,35,2004,Flagler (County),545.0,301.0,2.0,0.0,1.0,97.0,0.0,0.0,0.0,12035,29.521471,-81.222102
4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,69,2022,Lake (County),260.0,70.0,2.0,0.0,0.0,171.0,6.0,0.0,0.0,12069,28.716853,-81.750668
4673,HURRICANE IAN,FL,2022-09-23 00:00:00+00:00,12,69,2022,Lake (County),4792.0,443.0,91.0,19.0,5.0,5682.0,59.0,1.0,0.0,12069,28.716853,-81.750668
4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,69,2017,Lake (County),22669.0,4510.0,88.0,18.0,6.0,15822.0,277.0,43.0,0.0,12069,28.716853,-81.750668
4834,HURRICANE MILTON ,FL,2024-10-05 00:00:00+00:00,12,69,2024,Lake (County),14677.0,1579.0,199.0,29.0,16.0,8389.0,240.0,3.0,0.0,12069,28.716853,-81.750668
1561,HURRICANE JEANNE,FL,2004-09-24 00:00:00+00:00,12,69,2004,Lake (County),5461.0,3455.0,52.0,7.0,28.0,932.0,0.0,0.0,0.0,12069,28.716853,-81.750668
1551,HURRICANE IVAN,FL,2004-09-13 00:00:00+00:00,12,69,2004,Lake (County),112.0,17.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,12069,28.716853,-81.750668
1545,HURRICANE FRANCES,FL,2004-09-03 00:00:00+00:00,12,69,2004,Lake (County),4700.0,2961.0,34.0,8.0,32.0,725.0,0.0,0.0,0.0,12069,28.716853,-81.750668
1539,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,FL,2004-08-11 00:00:00+00:00,12,69,2004,Lake (County),682.0,396.0,6.0,3.0,2.0,152.0,0.0,0.0,0.0,12069,28.716853,-81.750668
4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,107,2022,Putnam (County),167.0,72.0,2.0,0.0,0.0,117.0,14.0,0.0,0.0,12107,29.60923,-81.721195
4673,HURRICANE IAN,FL,2022-09-23 00:00:00+00:00,12,107,2022,Putnam (County),1835.0,274.0,56.0,9.0,2.0,2388.0,36.0,1.0,0.0,12107,29.60923,-81.721195
4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,107,2017,Putnam (County),8648.0,2425.0,112.0,14.0,6.0,5353.0,175.0,14.0,0.0,12107,29.60923,-81.721195
4283,HURRICANE MATTHEW,FL,2016-10-03 00:00:00+00:00,12,107,2016,Putnam (County),1373.0,715.0,22.0,3.0,1.0,406.0,39.0,2.0,0.0,12107,29.60923,-81.721195
4834,HURRICANE MILTON ,FL,2024-10-05 00:00:00+00:00,12,107,2024,Putnam (County),1830.0,299.0,46.0,12.0,0.0,1478.0,75.0,0.0,0.0,12107,29.60923,-81.721195
4828,HURRICANE HELENE,FL,2024-09-23 00:00:00+00:00,12,107,2024,Putnam (County),655.0,117.0,31.0,6.0,1.0,556.0,35.0,0.0,0.0,12107,29.60923,-81.721195
1561,HURRICANE JEANNE,FL,2004-09-24 00:00:00+00:00,12,107,2004,Putnam (County),2969.0,1969.0,23.0,4.0,10.0,948.0,0.0,0.0,0.0,12107,29.60923,-81.721195
1545,HURRICANE FRANCES,FL,2004-09-03 00:00:00+00:00,12,107,2004,Putnam (County),4869.0,3457.0,57.0,7.0,28.0,1231.0,0.0,0.0,0.0,12107,29.60923,-81.721195
4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,109,2022,St. Johns (County),670.0,71.0,26.0,2.0,1.0,91.0,6.0,0.0,0.0,12109,29.991793,-81.434924
4673,HURRICANE IAN,FL,2022-09-23 00:00:00+00:00,12,109,2022,St. Johns (County),1859.0,182.0,117.0,17.0,5.0,2692.0,71.0,0.0,0.0,12109,29.991793,-81.434924
4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,109,2017,St. Johns (County),7804.0,1308.0,224.0,22.0,7.0,4540.0,214.0,21.0,0.0,12109,29.991793,-81.434924
4283,HURRICANE MATTHEW,FL,2016-10-03 00:00:00+00:00,12,109,2016,St. Johns (County),3866.0,1556.0,581.0,106.0,12.0,1293.0,504.0,5.0,0.0,12109,29.991793,-81.434924
4834,HURRICANE MILTON ,FL,2024-10-05 00:00:00+00:00,12,109,2024,St. Johns (County),1009.0,135.0,29.0,2.0,2.0,796.0,36.0,1.0,0.0,12109,29.991793,-81.434924
1561,HURRICANE JEANNE,FL,2004-09-24 00:00:00+00:00,12,109,2004,St. Johns (County),1209.0,745.0,10.0,2.0,4.0,198.0,0.0,0.0,0.0,12109,29.991793,-81.434924
1551,HURRICANE IVAN,FL,2004-09-13 00:00:00+00:00,12,109,2004,St. Johns (County),66.0,18.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,12109,29.991793,-81.434924
1545,HURRICANE FRANCES,FL,2004-09-03 00:00:00+00:00,12,109,2004,St. Johns (County),2689.0,1635.0,20.0,1.0,6.0,578.0,0.0,0.0,0.0,12109,29.991793,-81.434924
1539,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,FL,2004-08-11 00:00:00+00:00,12,109,2004,St. Johns (County),212.0,117.0,2.0,0.0,0.0,33.0,0.0,0.0,0.0,12109,29.991793,-81.434924
4680,HURRICANE NICOLE,FL,2022-11-07 00:00:00+00:00,12,127,2022,Volusia (County),1738.0,583.0,88.0,18.0,9.0,1414.0,256.0,2.0,0.0,12127,29.072351,-81.126278
4673,HURRICANE IAN,FL,2022-09-23 00:00:00+00:00,12,127,2022,Volusia (County),37073.0,5047.0,3521.0,694.0,288.0,27401.0,2346.0,41.0,0.0,12127,29.072351,-81.126278
4337,HURRICANE IRMA,FL,2017-09-04 00:00:00+00:00,12,127,2017,Volusia (County),31908.0,4813.0,298.0,26.0,8.0,30298.0,1033.0,102.0,0.0,12127,29.072351,-81.126278
4283,HURRICANE MATTHEW,FL,2016-10-03 00:00:00+00:00,12,127,2016,Volusia (County),13600.0,5953.0,69.0,11.0,8.0,3674.0,259.0,31.0,0.0,12127,29.072351,-81.126278
4834,HURRICANE MILTON ,FL,2024-10-05 00:00:00+00:00,12,127,2024,Volusia (County),24274.0,2988.0,1515.0,215.0,57.0,20069.0,1548.0,15.0,0.0,12127,29.072351,-81.126278
1561,HURRICANE JEANNE,FL,2004-09-24 00:00:00+00:00,12,127,2004,Volusia (County),8419.0,4962.0,55.0,17.0,22.0,2463.0,0.0,0.0,0.0,12127,29.072351,-81.126278
1551,HURRICANE IVAN,FL,2004-09-13 00:00:00+00:00,12,127,2004,Volusia (County),381.0,38.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,12127,29.072351,-81.126278
1545,HURRICANE FRANCES,FL,2004-09-03 00:00:00+00:00,12,127,2004,Volusia (County),29716.0,19434.0,447.0,75.0,102.0,7777.0,0.0,0.0,0.0,12127,29.072351,-81.126278
